yrq,year,qtr,spx,ytdRet,nextQRet
1927Q4,1927,4,17.66,0.0,0.09173278595696477
1928Q1,1928,1,19.280001,0.08558564189189166,-0.007261514146187031
1928Q2,1928,2,19.139999,0.07770264639639635,0.10449321340089934
1928Q3,1928,3,21.139999,0.19031525900900892,0.15184489838433768
1928Q4,1928,4,24.35,0.3710585585585586,0.04845999999999995
1929Q1,1929,1,25.530001,0.029020638009699118,0.07363881419354446
1929Q2,1929,2,27.41,0.10479649757341791,0.10032834731849682
1929Q3,1929,3,30.16,0.21563890429822252,-0.28879307029177714
1929Q4,1929,4,21.450001,-0.13542918724019304,0.1258740733858239
1930Q1,1930,1,24.15,0.1402266288951841,-0.1527950724637681
1930Q2,1930,2,20.459999,-0.033994381491973535,-0.09139780505365613
1930Q3,1930,3,18.59,-0.12228517469310674,-0.1748251748251748
1930Q4,1930,4,15.34,-0.27573182247403205,0.08800528031290744
1931Q1,1931,1,16.690001,0.05299690851735006,-0.11144403166902139
1931Q2,1931,2,14.83,-0.06435331230283914,-0.3452461227242076
1931Q3,1931,3,9.71,-0.3873817034700314,-0.16374871266735336
1931Q4,1931,4,8.12,-0.48769716088328074,-0.0997536945812808
1932Q1,1932,1,7.31,-0.033068783068783025,-0.39398084815321477
1932Q2,1932,2,4.43,-0.41402116402116407,0.8239277652370205
1932Q3,1932,3,8.08,0.06878306878306883,-0.14356435643564358
1932Q4,1932,4,6.92,-0.08465608465608465,-0.15462427745664742
1933Q1,1933,1,5.85,-0.143484626647145,0.864957264957265
1933Q2,1933,2,10.91,0.5973645680819912,-0.10907424381301556
1933Q3,1933,3,9.72,0.42313323572474393,0.025720164609053464
1933Q4,1933,4,9.97,0.4597364568081992,0.0651955867602807
1934Q1,1934,1,10.62,0.05044510385756684,-0.07627118644067787
1934Q2,1934,2,9.81,-0.029673590504450953,-0.07441386340468914
1934Q3,1934,3,9.08,-0.10187932739861516,0.04625550660792954
1934Q4,1934,4,9.5,-0.060336300692383715,-0.1105263157894738
1935Q1,1935,1,8.45,-0.11146161934805476,0.21183431952662746
1935Q2,1935,2,10.24,0.0767613038906414,0.1318359375
1935Q3,1935,3,11.59,0.2187171398527865,0.15875754961173416
1935Q4,1935,4,13.43,0.4121976866456363,0.11094564408041707
1936Q1,1936,1,14.92,0.11343283582089558,-0.00536193029490617
1936Q2,1936,2,14.84,0.10746268656716418,0.0788409703504045
1936Q3,1936,3,16.01,0.19477611940298512,0.07307932542161133
1936Q4,1936,4,17.18,0.28208955223880583,0.043073341094295836
1937Q1,1937,1,17.92,0.05847607796810417,-0.1406250000000001
1937Q2,1937,2,15.4,-0.09037212049616061,-0.10649350649350653
1937Q3,1937,3,13.76,-0.18724158298877736,-0.23328488372093015
1937Q4,1937,4,10.55,-0.37684583579444764,-0.1943127962085308
1938Q1,1938,1,8.5,-0.1920152091254752,0.3600000000000001
1938Q2,1938,2,11.56,0.09885931558935379,0.05882352941176472
1938Q3,1938,3,12.24,0.16349809885931577,0.07352941176470584
1938Q4,1938,4,13.14,0.24904942965779475,-0.1643835616438356
1939Q1,1939,1,10.98,-0.16055045871559626,-0.010928961748634003
1939Q2,1939,2,10.86,-0.16972477064220193,0.1777163904235728
1939Q3,1939,3,12.79,-0.022171253822630077,-0.025801407349491656
1939Q4,1939,4,12.46,-0.04740061162079501,-0.022471910112359605
1940Q1,1940,1,12.18,-0.03562945368171033,-0.1806239737274219
1940Q2,1940,2,9.98,-0.20981789390340466,0.06813627254509025
1940Q3,1940,3,10.66,-0.15597783056215364,-0.007504690431519689
1940Q4,1940,4,10.58,-0.16231195566112433,-0.05860113421550084
1941Q1,1941,1,9.96,-0.04961832061068694,-0.011044176706827447
1941Q2,1941,2,9.85,-0.06011450381679395,0.035532994923857864
1941Q3,1941,3,10.2,-0.026717557251908497,-0.14803921568627454
1941Q4,1941,4,8.69,-0.17080152671755733,-0.0782508630609896
1942Q1,1942,1,8.01,-0.0989876265466817,0.0362047440699127
1942Q2,1942,2,8.3,-0.06636670416197976,0.06626506024096379
1942Q3,1942,3,8.85,-0.004499437570303799,0.10395480225988707
1942Q4,1942,4,9.77,0.09898762654668158,0.18526100307062432
1943Q1,1943,1,11.58,0.16733870967741926,0.06649395509499123
1943Q2,1943,2,12.35,0.24495967741935476,-0.02186234817813759
1943Q3,1943,3,12.08,0.217741935483871,-0.03394039735099341
1943Q4,1943,4,11.67,0.17641129032258074,0.029991431019708692
1944Q1,1944,1,12.02,0.030874785591766596,0.07986688851913493
1944Q2,1944,2,12.98,0.1132075471698113,-0.018489984591679498
1944Q3,1944,3,12.74,0.09262435677530023,0.042386185243328045
1944Q4,1944,4,13.28,0.13893653516295013,0.02484939759036142
1945Q1,1945,1,13.61,0.021005251312828266,0.09257898603967663
1945Q2,1945,2,14.87,0.11552888222055513,0.07935433759246813
1945Q3,1945,3,16.049999,0.2040509377344335,0.08162006739065841
1945Q4,1945,4,17.360001,0.30232565641410347,0.039170504656076854
1946Q1,1946,1,18.040001,0.045797159420289946,0.021618568646420755
1946Q2,1946,2,18.43,0.06840579710144934,-0.1882799782962561
1946Q3,1946,3,14.96,-0.13275362318840578,0.022727272727272707
1946Q4,1946,4,15.3,-0.11304347826086958,-0.008496732026143872
1947Q1,1947,1,15.17,-0.0019736842105262387,0.002636783124588149
1947Q2,1947,2,15.21,0.0006578947368423016,-0.0065746219592374144
1947Q3,1947,3,15.11,-0.005921052631578938,0.012574454003970947
1947Q4,1947,4,15.3,0.00657894736842124,-0.014379084967320321
1948Q1,1948,1,15.08,-0.016949152542372836,0.11007957559681691
1948Q2,1948,2,16.74,0.09126466753585394,-0.07467144563918748
1948Q3,1948,3,15.49,0.009778357235984414,-0.018721755971594645
1948Q4,1948,4,15.2,-0.009126466753585416,-0.009210526315789447
1949Q1,1949,1,15.06,0.007357859531772704,-0.05976095617529886
1949Q2,1949,2,14.16,-0.05284280936454844,0.10028248587570632
1949Q3,1949,3,15.58,0.0421404682274249,0.07766373555840822
1949Q4,1949,4,16.790001,0.12307698996655514,0.0297796230030003
1950Q1,1950,1,17.2900009,0.03781519253079457,0.023134735637868165
